Indice,Région Cérébrale
1,rh_lateralorbitofrontal
2,rh_parsorbitalis
3,rh_frontalpole
4,rh_medialorbitofrontal
5,rh_parstriangularis
6,rh_parsopercularis
7,rh_rostralmiddlefrontal
8,rh_superiorfrontal
9,rh_caudalmiddlefrontal
10,rh_precentral
11,rh_paracentral
12,rh_rostralanteriorcingulate
13,rh_caudalanteriorcingulate
14,rh_posteriorcingulate
15,rh_isthmuscingulate
16,rh_postcentral
17,rh_supramarginal
18,rh_superiorparietal
19,rh_inferiorparietal
20,rh_precuneus
21,rh_cuneus
22,rh_pericalcarine
23,rh_lateraloccipital
24,rh_lingual
25,rh_fusiform
26,rh_parahippocampal
27,rh_entorhinal
28,rh_temporalpole
29,rh_inferiortemporal
30,rh_middletemporal
31,rh_bankssts
32,rh_superiortemporal
33,rh_transversetemporal
34,rh_insula
35,lh_lateralorbitofrontal
36,lh_parsorbitalis
37,lh_frontalpole
38,lh_medialorbitofrontal
39,lh_parstriangularis
40,lh_parsopercularis
41,lh_rostralmiddlefrontal
42,lh_superiorfrontal
43,lh_caudalmiddlefrontal
44,lh_precentral
45,lh_paracentral
46,lh_rostralanteriorcingulate
47,lh_caudalanteriorcingulate
48,lh_posteriorcingulate
49,lh_isthmuscingulate
50,lh_postcentral
51,lh_supramarginal
52,lh_superiorparietal
53,lh_inferiorparietal
54,lh_precuneus
55,lh_cuneus
56,lh_pericalcarine
57,lh_lateraloccipital
58,lh_lingual
59,lh_fusiform
60,lh_parahippocampal
61,lh_entorhinal
62,lh_temporalpole
63,lh_inferiortemporal
64,lh_middletemporal
65,lh_bankssts
66,lh_superiortemporal
67,lh_transversetemporal
68,lh_insula
